name,category,area,famous_for,why_good_lead,source
Seremban Siew Pau Master,pastry/bakery,Seremban,烧包（芙蓉招牌）,名气大、游客多，适合做短视频内容放大,openrice/tripzilla
Yee Kee Beef Noodles,hawker,Seremban Pasar Besar,芙蓉牛腩面,老字号、排队店，进出货和营业额多半还是手写,taufulou/goodyfoodies
Pasar Besar Seremban Beef Noodle,hawker,Pasar Besar,牛腩面,同上，巴刹老店数字化程度最低,tripadvisor
Tow Kee Hakka Mee,hawker,Seremban,客家面,老字号，适合“老店新说”类视频,openrice
Restaurant Yi Poh 姨婆老鼠粉,restaurant,Seremban,老鼠粉/客家面,有连锁潜力，可能已有基本POS，可卖报表+视频,myweekendplan
Restoran Chai Hong (Diamond Chicken Rice),restaurant,Seremban,贵价鸡饭,客单价高、名气大，付费能力强,myweekendplan
Restoran Sin Yit Sing,restaurant,Seremban,妈蜜蟹/瓦煲鱼汤,中型炒菜馆，进出货复杂，最需要成本管控,myweekendplan
Seremban Seafood Village,seafood,Seremban,烤蟹/海鲜,高客单价，海鲜进货成本波动大→成本分析刚需,myweekendplan
Bayu Village Restaurant,seafood,Seremban,海鲜（蟹/鱿鱼/鱼/啦啦）,同上,tripadvisor
The Gift Tilapia Restaurant,restaurant,Seremban,盐烤非洲鱼,特色单品店，非常适合短视频,myweekendplan
Ho Kow Hainanese Kopitiam,kopitiam,Seremban,海南咖啡/早餐,传统kopitiam，收银多半还是人工,yelp
Kheng's Kopitiam,kopitiam,Seremban,咖啡/面食,同上,yelp
Hailam Kopitiam,kopitiam,Seremban,海南餐,同上,yelp
Old Malaya Kopitiam,kopitiam,Seremban,怀旧餐饮,同上,yelp
Nyonya Kopitiam,kopitiam,Seremban,娘惹菜,菜色上镜，适合做视频内容,yelp
The Parque Cafe,cafe,Seremban 2,咖啡/西餐,年轻客群，老板通常愿意花钱做营销,yelp
Chars Cafe,cafe,Seremban,咖啡/拉花,已有IG意识，可卖“代运营+出片”,yelp
Coffeeholic,cafe,Seremban,咖啡,同上,yelp
Leaf & Co. Cafe,cafe,Seremban,咖啡/brunch,同上,yelp
The Big Mouth Cafe,cafe,Seremban,西餐,同上,yelp
Cartel Coffee Shop,cafe,Seremban,咖啡,同上,yelp
Hayyan Huda Opah's Kitchen,restaurant,Seremban,马来餐,马来餐厅市场大、竞争者少去谈,tripadvisor
